Timestamp;SMEA.MI;CSPXJ.MI;INAA.MI;XMME.MI;LCJP.MI;XBLC.MI;GOVA.MI;X13E.MI;XAD5.MI
30/12/2024;77,8;175,78;105,08;54,098;16,948;157,32;25,69;169,98;240,58
27/12/2024;78,34;175,85;105,71;54,376;17,062;157,21;25,645;169,95;241,53
23/12/2024;77,57;175,03;105,4;54,598;16,68;157,75;25,725;170,08;241,62
20/12/2024;77,6;174,52;105,52;54,53;16,776;157,64;25,795;169,94;242,26
19/12/2024;78,31;175,29;105,27;54,718;16,806;157,63;25,765;169,91;240,12
18/12/2024;79,48;177,8;107,02;55,008;17,02;157,95;25,865;170,01;242,16
17/12/2024;79,43;178,61;106,57;54,88;17,004;158,1;25,875;169,89;241,69
16/12/2024;79,71;178,28;107,03;55,178;17,02;158,24;25,855;169,93;242,72
13/12/2024;79,8;178,61;106,56;55,324;17,12;158,28;25,875;169,81;243,82
12/12/2024;80,09;179,84;107,2;55,52;17,4;158,84;25,98;169,96;245,54
11/12/2024;80,18;181,12;107,66;55,576;17,486;158,94;26,1;170,12;249
10/12/2024;80;181,32;106,88;55,448;17,27;159,06;26,135;170,07;246,01
09/12/2024;80,44;183,88;106,48;56,138;17,27;159,16;26,135;170,09;242,56
06/12/2024;80,31;180,42;106,93;54,884;17,38;159,09;26,13;169,92;240,14
05/12/2024;80,16;182,04;106,89;54,938;17,42;158,74;26,14;169,91;239,97
04/12/2024;79,9;182,85;107,06;54,746;17,5;158,97;26,14;169,98;242,42
03/12/2024;79,6;184,24;106,66;54,604;17,546;158,53;26,13;169,97;242,04
02/12/2024;79,29;183,58;106,93;54,558;17,394;159,08;26,12;170,11;242,32
29/11/2024;78,74;183,47;106,1;54,032;16,994;158,85;26,075;169,98;242,5
28/11/2024;78,28;182,32;105,79;53,672;16,844;158,32;25,985;169,76;240,87
27/11/2024;77,93;182,15;105,36;53,85;16,66;158,26;25,88;169,55;240,51
26/11/2024;78,08;181,56;106,44;54,386;16,72;157,66;25,82;169,56;241,32
25/11/2024;78,51;182,94;106,06;54,562;16,826;157,84;25,82;169,67;241,48
22/11/2024;78,56;184,29;106,38;54,796;16,852;157,1;25,75;169,61;250,06
21/11/2024;77,62;183,28;105,14;54,334;16,654;156,85;25,665;169,32;244,66
20/11/2024;77,27;180,91;103,6;54,24;16,456;156,7;25,635;169,21;242,62
