Timestamp;BRENT;WTI;RBOB;HO;LS
31/12/2024;74,64;71,72;2,0015;2,3206;695,25
30/12/2024;74,39;70,99;1,9763;2,2995;692,25
27/12/2024;74,17;70,6;1,9582;2,2448;680,5
26/12/2024;73,26;69,62;1,9458;2,2053;671,25
24/12/2024;73,58;70,1;1,9589;2,2215;674
23/12/2024;72,63;69,24;1,9383;2,2263;669,5
20/12/2024;72,94;69,46;1,9416;2,2317;675,25
19/12/2024;72,88;69,91;1,9228;2,2377;679,25
18/12/2024;73,39;70,58;1,9428;2,255;690,75
17/12/2024;73,19;70,08;1,9439;2,2279;673,25
16/12/2024;73,91;70,71;1,9757;2,264;685,75
13/12/2024;74,49;71,29;2,0018;2,27;689,25
12/12/2024;73,41;70,02;1,9885;2,2366;680
11/12/2024;73,52;70,29;1,9858;2,2233;680
10/12/2024;72,19;68,59;1,9568;2,1861;667,75
09/12/2024;72,14;68,37;1,9525;2,1835;662,75
06/12/2024;71,12;67,2;1,9062;2,1326;647,75
05/12/2024;72,09;68,3;1,9325;2,1557;658,5
04/12/2024;72,31;68,54;1,9391;2,1674;666,25
03/12/2024;73,62;69,94;1,9624;2,2177;676,25
02/12/2024;71,83;68,1;1,9172;2,1777;667,25
29/11/2024;72,94;68;1,9437;2,193;677
28/11/2024;73,28;68,72;1,9734;2,2036;669,25
27/11/2024;72,83;68,77;1,9918;2,2404;675
26/11/2024;72,81;68,94;2,0005;2,2353;690
25/11/2024;73,01;71,24;2,0614;2,2749;679
22/11/2024;75,17;70,1;2,0594;2,2744;697,75
21/11/2024;74,23;68,87;2,0458;2,2263;691,75
20/11/2024;72,81;69,39;2,0377;2,2402;682,25
19/11/2024;73,31;69,16;2,0183;2,2514;688,25
18/11/2024;73,3;67,02;1,9493;2,1709;686,5
15/11/2024;71,04;68,7;1,9817;2,2123;671
14/11/2024;72,56;68,43;1,9651;2,2193;674
13/11/2024;72,28;68,12;1,9643;2,2108;666,25
12/11/2024;71,89;68,04;1,957;2,1976;656,5
11/11/2024;71,83;70,38;2,0125;2,2389;656,5
08/11/2024;73,87;72,36;2,0536;2,2864;668,5
07/11/2024;75,63;71,69;2,0354;2,27;680,25
06/11/2024;74,92;71,99;2,0446;2,3042;690,25
05/11/2024;75,53;71,47;2,0192;2,2841;696,5
04/11/2024;75,08;69,49;1,9665;2,2342;683,5
01/11/2024;73,1;69,26;2,0035;2,2195;672
31/10/2024;73,16;68,61;1,9957;2,1876;669
30/10/2024;72,55;67,21;1,9518;2,1337;658,75
29/10/2024;71,12;67,38;1,9664;2,1286;636,25
28/10/2024;71,42;71,78;2,0785;2,2381;644,5
25/10/2024;76,05;70,19;2,0277;2,2023;676,25
24/10/2024;74,38;70,77;2,0414;2,2216;666,75
23/10/2024;74,96;72,09;2,0715;2,237;668,75
22/10/2024;76,04;70,56;2,0147;2,1833;674,5
21/10/2024;74,29;69,22;2,002;2,1522;655,5
18/10/2024;73,06;70,67;2,0468;2,1945;648,5
17/10/2024;74,45;70,39;2,0403;2,1747;660,75
16/10/2024;74,22;70,58;2,0377;2,1877;655,75
15/10/2024;74,25;73,83;2,1086;2,2742;658,25
14/10/2024;77,46;75,56;2,1516;2,3439;692,25
11/10/2024;79,04;75,85;2,1509;2,3509;709,75
10/10/2024;79,4;73,24;2,0664;2,2769;693
09/10/2024;76,58;73,57;2,0681;2,2972;693
08/10/2024;77,18;77,14;2,1538;2,3962;695,75
07/10/2024;80,93;74,38;2,0958;2,3127;726,75
04/10/2024;78,05;73,71;2,0926;2,2947;712,5
03/10/2024;77,62;70,1;1,9859;2,1821;693
02/10/2024;73,9;69,83;1,9666;2,1742;669,5
01/10/2024;73,56;68,17;1,9621;2,1318;678,25
30/09/2024;71,77;68,18;1,953;2,1327;664,25
27/09/2024;71,98;67,67;1,9613;2,1361;657,5
26/09/2024;71,6;69,69;1,9999;2,1602;658,75
25/09/2024;73,46;71,56;2,0297;2,1805;672,5
24/09/2024;75,17;70,37;1,9902;2,1451;668,75
23/09/2024;73,9;71,92;2,0364;2,1615;660,25
20/09/2024;74,49;71,95;2,06;2,172;665,75
19/09/2024;74,88;70,91;2,0107;2,1475;669,25
18/09/2024;73,65;71,19;2,0019;2,1367;658,5
17/09/2024;73,7;70,09;1,9682;2,0968;650
16/09/2024;72,75;68,65;1,9302;2,0843;642,25
13/09/2024;71,61;68,97;1,927;2,1188;649,5
12/09/2024;71,97;67,31;1,8972;2,0917;627,25
11/09/2024;70,61;65,75;1,87;2,058;627,25
10/09/2024;69,19;68,71;1,9204;2,1394;633
09/09/2024;71,84;67,67;1,896;2,115;645,75
06/09/2024;71,06;69,15;1,9258;2,1689;650,5
05/09/2024;72,69;69,2;1,9618;2,1575;666,25
04/09/2024;72,7;70,34;1,9777;2,206;666
03/09/2024;73,75;73,55;2,2117;2,2515;678,5
02/09/2024;77,52;75,91;2,2477;2,284;693,75
30/08/2024;78,8;74,52;2,2148;2,2291;696,5
29/08/2024;79,94;75,53;2,2469;2,2862;704,25
28/08/2024;78,65;77,42;2,2799;2,348;692,5
27/08/2024;79,55;74,83;2,2851;2,2997;708
26/08/2024;81,43;73,01;2,2437;2,2635;726,25
23/08/2024;79,02;71,93;2,205;2,2497;708,25
22/08/2024;77,22;74,04;2,2563;2,2632;698,25
21/08/2024;76,05;74,37;2,2638;2,2635;699,25
20/08/2024;77,2;76,65;2,3102;2,3287;692
19/08/2024;77,66;78,16;2,358;2,3779;709,5
16/08/2024;79,68;76,98;2,3211;2,3682;718,5
15/08/2024;81,04;78,35;2,3747;2,3892;737,25
14/08/2024;79,76;80,06;2,4429;2,4065;729,5
13/08/2024;80,69;76,84;2,3903;2,3397;733,75
12/08/2024;82,3;76,19;2,3992;2,3578;720,25
09/08/2024;79,66;75,23;2,3573;2,3556;720,25
08/08/2024;79,16;73,2;2,3262;2,2958;721,75
07/08/2024;78,33;72,94;2,3336;2,2986;724,5
06/08/2024;76,48;73,52;2,3176;2,3185;702,5
05/08/2024;76,3;76,31;2,398;2,4064;704,5
02/08/2024;76,81;77,91;2,482;2,4155;712,75
01/08/2024;79,52;74,73;2,3871;2,3368;740,75
31/07/2024;80,72;75,81;2,4153;2,375;740,25
30/07/2024;78,63;77,16;2,4605;2,4197;721
29/07/2024;79,78;78,28;2,4676;2,4712;733,5
26/07/2024;81,13;77,59;2,4515;2,4524;736,5
25/07/2024;82,37;76,96;2,4141;2,4099;751,5
24/07/2024;81,71;79,78;2,4706;2,4348;752,5
23/07/2024;81,01;80,13;2,4504;2,4191;737
22/07/2024;82,4;82,82;2,5164;2,4868;744,25
19/07/2024;82,63;82,85;2,5013;2,494;754,75
18/07/2024;85,11;80,76;2,4775;2,4688;762,5
17/07/2024;85,08;81,91;2,4916;2,5136;762,5
16/07/2024;83,73;82,21;2,5153;2,5096;760,5
15/07/2024;84,85;82,62;2,5178;2,5182;773,75
12/07/2024;85,03;82,1;2,5034;2,5184;779,25
11/07/2024;85,4;81,41;2,5274;2,5236;779,5
10/07/2024;85,08;82,33;2,5379;2,5791;779,5
09/07/2024;84,66;83,16;2,5591;2,6024;775,75
08/07/2024;85,75;83,88;2,6013;2,6343;789,5
05/07/2024;86,54;82,81;2,5734;2,6297;807,5
04/07/2024;87,43;83,38;2,5783;2,6147;802,5
03/07/2024;87,34;81,54;2,5291;2,5169;796
02/07/2024;86,24;81,74;2,5456;2,5476;811,5
01/07/2024;86,6;80,9;2,5446;2,5375;797,75
28/06/2024;86,41;80,83;2,5147;2,5094;785,5
27/06/2024;86,39;81,63;2,5115;2,5214;794
26/06/2024;85,25;80,73;2,5137;2,4915;781,5
25/06/2024;85,01;82,17;2,5008;2,5245;785,5
24/06/2024;86,01;81,57;2,4832;2,5208;781,25
21/06/2024;85,24;80,33;2,4469;2,4825;783,25
20/06/2024;85,71;78,45;2,3996;2,4706;782,75
19/06/2024;85,07;78,62;2,4156;2,4868;791,5
18/06/2024;85,33;78,5;2,3944;2,4408;780
17/06/2024;84,25;77,9;2,4089;2,4213;767,25
14/06/2024;82,62;77,74;2,4109;2,4147;762,25
13/06/2024;82,75;75,53;2,3826;2,3517;763,5
12/06/2024;82,6;75,55;2,3975;2,3576;746
11/06/2024;81,92;74,07;2,3536;2,3011;746
10/06/2024;81,63;73,25;2,3495;2,2859;737,25
07/06/2024;79,62;74,22;2,3356;2,2962;722,25
06/06/2024;79,87;76,99;2,426;2,3636;718
05/06/2024;78,41;77,91;2,4046;2,3694;701
04/06/2024;77,52;79,23;2,4644;2,437;703,5
03/06/2024;78,36;79,83;2,509;2,465;708,5
31/05/2024;81,62;77,72;2,4842;2,4136;731,75
30/05/2024;81,86;76,87;2,4694;2,4118;742,75
29/05/2024;83,6;77,57;2,4678;2,4318;751,5
28/05/2024;84,22;79,26;2,51;2,4623;759,5
27/05/2024;83,1;79,8;2,5399;2,4871;749
24/05/2024;82,12;80,06;2,5742;2,4863;739
23/05/2024;81,36;79,23;2,5378;2,4437;746
22/05/2024;81,9;78,63;2,4968;2,4231;746,5
21/05/2024;82,88;78,02;2,4596;2,42;759,5
20/05/2024;83,71;79,12;2,5105;2,4368;765,5
17/05/2024;83,98;78,26;2,4997;2,4344;762,5
16/05/2024;83,27;79,26;2,5418;2,4776;749,25
15/05/2024;82,75;78,99;2,5318;2,4761;745,25
14/05/2024;82,38;78,38;2,5434;2,4656;741,5
13/05/2024;83,36;78,48;2,5882;2,4614;752,75
10/05/2024;82,79;78,11;2,5551;2,4434;760,5
09/05/2024;83,88;78,95;2,5965;2,4431;760,5
08/05/2024;83,58;79;2,5774;2,4519;756,5
07/05/2024;83,16;81,93;2,7108;2,5134;750,25
06/05/2024;83,33;82,63;2,7487;2,5313;750,5
03/05/2024;82,96;83,85;2,7646;2,5482;746,25
02/05/2024;83,67;83,57;2,7582;2,5504;743,75
01/05/2024;83,44;82,81;2,7343;2,5499;753
30/04/2024;87,86;83,36;2,7253;2,5792;774
29/04/2024;88,4;82,85;2,6854;2,5604;781,25
26/04/2024;89,5;83,14;2,7103;2,5413;787,75
25/04/2024;89,01;82,73;2,7137;2,5339;773,5
24/04/2024;88,02;82,69;2,7287;2,5747;781,25
23/04/2024;88,42;85,36;2,8223;2,6513;784,25
22/04/2024;87;85,41;2,7839;2,6542;778,75
19/04/2024;87,29;85,66;2,8029;2,6851;781
18/04/2024;87,11;85,02;2,7741;2,6598;778,25
17/04/2024;87,29;86,21;2,7816;2,7076;806,75
16/04/2024;90,02;85,23;2,7556;2,677;817,75
15/04/2024;90,1;86,43;2,7486;2,7287;814,25
