Date,Last
03-06-2025,13180.45
02-06-2025,13104.24
30-05-2025,13049.13
29-05-2025,13049.01
28-05-2025,12996.6
27-05-2025,13069.32
23-05-2025,12806.24
22-05-2025,12891.95
21-05-2025,12897.42
20-05-2025,13108.52
19-05-2025,13159.31
16-05-2025,13145.88
15-05-2025,13052.72
14-05-2025,12995.78
13-05-2025,12981.89
12-05-2025,12888.13
09-05-2025,12480.31
08-05-2025,12487.00
07-05-2025,12414.98
06-05-2025,12361.16
05-05-2025,12456.84
02-05-2025,12536.20
01-05-2025,12353.87
30-04-2025,12276.39
29-04-2025,12257.27
28-04-2025,12186.52
25-04-2025,12178.49
23-04-2025,11849.25
21-04-2025,11368.98
17-04-2025,11642.40
16-04-2025,11626.79
15-04-2025,11892.99
14-04-2025,11912.45
11-04-2025,11818.53
10-04-2025,11608.22
09-04-2025,12022.21
08-04-2025,10977.50
07-04-2025,11152.56
04-04-2025,11178.48
03-04-2025,11887.15
02-04-2025,12491.10
01-04-2025,12407.26
31-03-2025,12360.21
28-03-2025,12290.86
27-03-2025,12537.93
26-03-2025,12579.48
25-03-2025,12721.41
24-03-2025,12700.91
21-03-2025,12480.59
20-03-2025,12469.97
19-03-2025,12495.74
18-03-2025,12362.16
17-03-2025,12494.82
14-03-2025,12414.28
13-03-2025,12153.33
12-03-2025,12323.50
11-03-2025,12263.31
10-03-2025,12356.69
07-03-2025,12696.90
06-03-2025,12625.31
05-03-2025,12853.99
04-03-2025,12711.86
03-03-2025,12868.95
28-02-2025,13098.22
27-02-2025,12892.20
26-02-2025,13099.91
25-02-2025,13097.85
24-02-2025,13159.21
21-02-2025,13224.45
20-02-2025,13453.54
19-02-2025,13510.29
18-02-2025,13478.02
14-02-2025,13443.10
13-02-2025,13440.93
12-02-2025,13302.10
11-02-2025,13337.00
10-02-2025,13332.15
07-02-2025,13241.34
06-02-2025,13366.96
05-02-2025,13318.43
04-02-2025,13266.45
03-02-2025,13171.21
31-01-2025,13271.38
30-01-2025,13337.85
29-01-2025,13267.65
28-01-2025,13329.95
27-01-2025,13208.19
24-01-2025,13403.51
23-01-2025,13440.61
22-01-2025,13369.36
21-01-2025,13287.58
17-01-2025,13171.75
16-01-2025,13041.19
15-01-2025,13068.56
14-01-2025,12832.29
13-01-2025,12817.56
10-01-2025,12797.39
08-01-2025,12995.13
07-01-2025,12974.59
06-01-2025,13120.14
03-01-2025,13046.88
02-01-2025,12883.58
31-12-2024,12911.82
30-12-2024,12966.22
27-12-2024,13106.39
26-12-2024,13251.76
24-12-2024,13256.07
23-12-2024,13111.30
20-12-2024,13015.66
19-12-2024,12875.09
18-12-2024,12886.21
17-12-2024,13277.55
16-12-2024,13328.78
13-12-2024,13276.56
12-12-2024,13275.24
11-12-2024,13347.51
10-12-2024,13239.21
09-12-2024,13278.29
06-12-2024,13358.50
05-12-2024,13323.74
04-12-2024,13347.88
03-12-2024,13267.33
02-12-2024,13261.08
29-11-2024,13227.13
27-11-2024,13152.08
26-11-2024,13201.47
25-11-2024,13125.46
22-11-2024,13085.86
21-11-2024,13040.08
20-11-2024,12968.85
19-11-2024,12968.16
18-11-2024,12916.80
15-11-2024,12864.42
14-11-2024,13034.79
13-11-2024,13112.57
12-11-2024,13108.95
11-11-2024,13146.20
08-11-2024,13133.47
07-11-2024,13081.53
06-11-2024,12984.73
05-11-2024,12664.32
04-11-2024,12510.73
01-11-2024,12545.40
31-10-2024,12493.74
30-10-2024,12729.73
29-10-2024,12771.80
28-10-2024,12751.22
25-10-2024,12717.34
24-10-2024,12721.05
23-10-2024,12693.82
22-10-2024,12811.36
21-10-2024,12817.39
18-10-2024,12840.30
17-10-2024,12788.78
16-10-2024,12790.84
15-10-2024,12731.10
14-10-2024,12827.63
11-10-2024,12729.52
10-10-2024,12652.84
09-10-2024,12677.16
08-10-2024,12587.25
07-10-2024,12466.41
04-10-2024,12586.91
03-10-2024,12472.39
02-10-2024,12493.35
01-10-2024,12490.87
30-09-2024,12608.07
27-09-2024,12553.78
26-09-2024,12569.13
25-09-2024,12517.82
24-09-2024,12541.09
23-09-2024,12509.61
20-09-2024,12474.44
19-09-2024,12498.59
18-09-2024,12289.26
17-09-2024,12324.75
16-09-2024,12321.21
13-09-2024,12303.26
12-09-2024,12235.06
11-09-2024,12143.85
10-09-2024,12015.57
09-09-2024,11961.75
06-09-2024,11823.57
05-09-2024,12029.72
04-09-2024,12065.69
03-09-2024,12084.57
30-08-2024,12344.43
29-08-2024,12219.38
28-08-2024,12219.23
27-08-2024,12292.64
26-08-2024,12272.08
23-08-2024,12310.63
22-08-2024,12170.71
21-08-2024,12280.18
20-08-2024,12227.80
19-08-2024,12251.74
16-08-2024,12132.48
15-08-2024,12106.68
14-08-2024,11911.02
13-08-2024,11865.29
12-08-2024,11668.58
09-08-2024,11666.50
08-08-2024,11610.84
07-08-2024,11349.24
06-08-2024,11437.32
05-08-2024,11319.96
02-08-2024,11669.18
01-08-2024,11887.54
31-07-2024,12052.09
30-07-2024,11863.80
29-07-2024,11922.88
26-07-2024,11913.04
25-07-2024,11781.57
24-07-2024,11842.36
23-07-2024,12122.83
22-07-2024,12141.75
19-07-2024,12011.61
18-07-2024,12097.25
17-07-2024,12192.49
16-07-2024,12364.55
15-07-2024,12286.05
12-07-2024,12250.19
11-07-2024,12182.97
10-07-2024,12290.21
09-07-2024,12164.57
08-07-2024,12155.27
05-07-2024,12142.54
03-07-2024,12074.83
02-07-2024,12013.40
01-07-2024,11939.38
28-06-2024,11907.15
27-06-2024,11954.50
26-06-2024,11943.53
25-06-2024,11924.75
24-06-2024,11878.04
21-06-2024,11913.78
20-06-2024,11931.80
18-06-2024,11961.93
17-06-2024,11931.48
14-06-2024,11839.27
13-06-2024,11841.02
12-06-2024,11813.17
11-06-2024,11713.30
10-06-2024,11681.54
07-06-2024,11650.49
06-06-2024,11661.37
05-06-2024,11663.55
04-06-2024,11526.80
03-06-2024,11508.89
31-05-2024,11494.70
30-05-2024,11402.10
29-05-2024,11469.46
28-05-2024,11554.45
24-05-2024,11551.56
23-05-2024,11470.98
22-05-2024,11555.84
21-05-2024,11587.05
20-05-2024,11557.84
17-05-2024,11546.28
16-05-2024,11532.36
15-05-2024,11554.04
14-05-2024,11418.12
13-05-2024,11361.46
10-05-2024,11364.04
09-05-2024,11343.55
08-05-2024,11283.91
07-05-2024,11283.96
06-05-2024,11268.23
03-05-2024,11152.76
02-05-2024,11013.91
01-05-2024,10914.11
30-04-2024,10951.66
29-04-2024,11126.28
26-04-2024,11090.46
25-04-2024,10978.20
24-04-2024,11028.46
23-04-2024,11026.06
22-04-2024,10895.47
19-04-2024,10801.16
18-04-2024,10896.07
17-04-2024,10919.49
16-04-2024,10982.99
15-04-2024,11005.61
12-04-2024,11139.38
11-04-2024,11302.53
10-04-2024,11218.73
09-04-2024,11325.63
08-04-2024,11307.66
05-04-2024,11311.70
04-04-2024,11187.49
03-04-2024,11325.78
02-04-2024,11312.90
01-04-2024,11395.08
28-03-2024,11418.03
27-03-2024,11404.95
26-03-2024,11306.01
25-03-2024,11337.74
22-03-2024,11372.49
21-03-2024,11387.89
20-03-2024,11350.89
19-03-2024,11249.23
18-03-2024,11186.04
15-03-2024,11115.69
14-03-2024,11187.85
13-03-2024,11217.30
12-03-2024,11238.46
11-03-2024,11113.61
08-03-2024,11126.07
07-03-2024,11198.39
06-03-2024,11082.65
05-03-2024,11025.16
04-03-2024,11138.43
01-03-2024,11151.34
29-02-2024,11062.11
28-02-2024,11002.20
27-02-2024,11019.44
26-02-2024,11000.50
23-02-2024,11041.90
22-02-2024,11037.82
21-02-2024,10808.93
20-02-2024,10794.80
16-02-2024,10859.63
15-02-2024,10910.31
14-02-2024,10844.72
13-02-2024,10739.81
12-02-2024,10887.41
09-02-2024,10897.61
08-02-2024,10834.36
07-02-2024,10826.81
06-02-2024,10738.17
05-02-2024,10713.11
02-02-2024,10747.25
01-02-2024,10633.14
31-01-2024,10501.38
30-01-2024,10672.95
29-01-2024,10678.50
26-01-2024,10598.23
25-01-2024,10605.13
24-01-2024,10549.04
23-01-2024,10540.38
22-01-2024,10509.44
19-01-2024,10486.44
18-01-2024,10358.29
17-01-2024,10267.05
16-01-2024,10324.83
12-01-2024,10363.35
11-01-2024,10354.69
10-01-2024,10361.27
